DATE,POWER_DEMAND,Predicted_POWER_DEMAND
2014-08-23,5301.0,5186.8433
2014-08-24,5249.0,4970.253
2014-08-25,5210.0,5207.9653
2014-08-26,5421.0,5414.1367
2014-08-27,5354.0,5002.6157
2014-08-28,5463.0,5055.2153
2014-08-29,5113.0,5021.9727
2014-08-30,4943.0,4899.1484
2014-08-31,4601.0,4566.657
2014-09-13,4150.0,4199.1836
2014-09-14,4237.0,4337.778
2014-09-15,3903.0,3899.6619
2014-09-16,4474.0,4589.1616
2014-09-17,4444.0,4579.963
2014-09-18,4720.0,4755.0996
2014-09-19,4845.0,4796.2056
2014-09-20,4760.0,4945.626
2014-09-21,4685.0,4607.1777
2014-09-22,4525.0,4544.6387
2014-09-23,4760.0,4715.762
2014-09-24,4539.0,4524.9644
2014-09-25,4577.0,4488.1978
2014-09-26,4482.0,4494.468
2014-09-27,4493.0,4433.333
2014-09-28,4353.0,4365.0376
2014-09-29,4361.0,4342.958
2014-09-30,4465.0,4490.321
2014-10-13,3526.0,3610.075
2014-10-14,3865.0,3902.7249
2014-10-15,3722.0,3684.319
2014-10-16,3742.0,3678.842
2014-10-17,3591.0,3578.8442
2014-10-18,3624.0,3513.1853
2014-10-19,3360.0,3403.474
2014-10-20,3138.0,3175.981
2014-10-21,3606.0,3644.4275
2014-10-22,3687.0,3726.4766
2014-10-23,3557.0,3502.9106
2014-10-24,3235.0,3333.7463
2014-10-25,3134.0,3184.7512
2014-10-26,3221.0,3298.5054
2014-10-27,3122.0,3216.6052
2014-10-28,3479.0,3520.4998
2014-10-29,3500.0,3483.6516
2014-10-30,3276.0,3492.6165
2014-10-31,3485.0,3445.2378
2014-11-13,3185.0,3133.8376
2014-11-14,3113.0,3099.7246
2014-11-15,3052.0,3064.0635
2014-11-16,2934.0,2986.2292
2014-11-17,2920.0,2936.948
2014-11-18,3080.0,3089.474
2014-11-19,3106.0,3104.4348
2014-11-20,3132.0,3111.0923
2014-11-21,3181.0,3167.9912
2014-11-22,3157.0,3128.0347
2014-11-23,3019.0,3020.9775
2014-11-24,3027.0,3018.0334
2014-11-25,3122.0,3114.0273
2014-11-26,3061.0,3086.0122
2014-11-27,3156.0,3156.1274
2014-11-28,3183.0,3172.3499
2014-11-29,3228.0,3174.9075
2014-11-30,3093.0,3086.808
2014-12-13,3161.0,3210.7368
2014-12-14,3234.0,3254.2397
2014-12-15,3238.0,3213.4138
2014-12-16,3200.0,3189.8892
2014-12-17,3209.0,3252.3074
2014-12-18,3387.0,3421.2275
2014-12-19,3435.0,3405.7627
2014-12-20,3599.0,3563.0698
2014-12-21,3585.0,3598.7378
2014-12-22,3549.0,3578.4055
2014-12-23,3781.0,3743.4534
2014-12-24,3875.0,3811.9937
2014-12-25,3826.0,3863.3684
2014-12-26,3938.0,3898.873
2014-12-27,4161.0,4056.2803
2014-12-28,4161.0,3839.8733
2014-12-29,4150.0,4130.928
2014-12-30,4192.0,3926.5002
2014-12-31,3995.0,3961.3408
2015-01-13,4058.0,4078.411
2015-01-14,4020.0,4034.917
2015-01-15,4145.0,4099.307
2015-01-16,4069.0,4030.7268
2015-01-17,4206.0,4159.1045
2015-01-18,3882.0,3858.6743
2015-01-19,3834.0,4038.45
2015-01-20,3936.0,3902.3123
2015-01-21,3903.0,3884.3618
2015-01-22,3990.0,3962.5452
2015-01-23,3870.0,3858.2256
2015-01-24,4012.0,4023.366
2015-01-25,3899.0,3778.5598
2015-01-26,3693.0,3682.8657
2015-01-27,3095.0,3359.125
2015-01-28,3829.0,3820.4226
2015-01-29,3860.0,3855.3057
2015-01-30,3758.0,3760.4265
2015-01-31,4003.0,3714.2834
2015-02-13,3434.0,3493.6287
2015-02-14,3543.0,3411.8694
2015-02-15,3399.0,3406.6125
2015-02-16,3274.0,3249.7231
2015-02-17,3194.0,3274.7332
2015-02-18,3406.0,3371.9434
2015-02-19,3130.0,3150.145
2015-02-20,3157.0,3303.2268
2015-02-21,3330.0,3303.5994
2015-02-22,3058.0,3099.4944
2015-02-23,3075.0,3063.2546
2015-02-24,3089.0,3129.2334
2015-02-25,3177.0,3231.919
2015-02-26,3276.0,3239.8533
2015-02-27,3133.0,3290.8042
2015-02-28,3221.0,3187.7964
2015-03-13,3186.0,3222.506
2015-03-14,3290.0,3224.3066
2015-03-15,3116.0,3147.496
2015-03-16,3048.0,3004.1792
2015-03-17,3155.0,3135.2957
2015-03-18,3193.0,3168.1206
2015-03-19,3283.0,3218.6357
2015-03-20,3211.0,3214.4375
2015-03-21,3276.0,2896.6025
2015-03-22,3002.0,2995.415
2015-03-23,2880.0,2895.5942
2015-03-24,3168.0,3157.363
2015-03-25,3260.0,3238.6616
2015-03-26,3414.0,3396.0928
2015-03-27,3564.0,3506.4407
2015-03-28,3522.0,3119.5803
2015-03-29,3243.0,3313.293
2015-03-30,2878.0,2878.2156
2015-03-31,3220.0,3190.0793
2015-04-13,3062.0,3082.0989
2015-04-14,3332.0,3282.2007
2015-04-15,3385.0,3375.3286
2015-04-16,3519.0,3521.183
2015-04-17,3579.0,3578.9553
2015-04-18,3595.0,3613.1938
2015-04-19,3541.0,3562.3086
2015-04-20,3529.0,3592.2778
2015-04-21,3931.0,4125.1797
2015-04-22,4037.0,4324.5186
2015-04-23,4055.0,4129.767
2015-04-24,4126.0,4087.2605
2015-04-25,4355.0,4298.6343
2015-04-26,3900.0,3883.4038
2015-04-27,3676.0,3844.2043
2015-04-28,4112.0,4122.2383
2015-04-29,4232.0,4154.4355
2015-04-30,4281.0,4349.3555
2015-05-13,5125.0,4596.974
2015-05-14,4948.0,4770.5835
2015-05-15,4417.0,4416.324
2015-05-16,4311.0,4457.7305
2015-05-17,4322.0,4344.034
2015-05-18,4503.0,5062.827
2015-05-19,5005.0,5036.888
2015-05-20,4942.0,4834.3755
2015-05-22,4946.0,4998.042
2015-05-23,5007.0,5060.7075
2015-05-24,4964.0,5062.4824
2015-05-25,5011.0,4978.055
2015-05-26,5212.0,5224.8364
2015-05-27,5362.0,5296.394
2015-05-28,5176.0,5182.09
2015-05-29,5274.0,5255.7754
2015-05-30,5320.0,5274.196
2015-05-31,5171.0,5190.292
2015-06-13,5494.0,5171.45
2015-06-14,5373.0,5305.0513
2015-06-15,4447.0,4450.396
2015-06-16,4380.0,4913.783
2015-06-17,4846.0,4802.3423
2015-06-18,5049.0,5053.523
2015-06-19,5311.0,5232.5034
2015-06-20,5685.0,5018.29
2015-06-21,5639.0,4848.073
2015-06-22,5145.0,5134.484
2015-06-23,5139.0,5130.0337
2015-06-24,5419.0,5351.76
2015-06-25,5122.0,5119.8765
2015-06-26,4292.0,4712.4634
2015-06-27,4775.0,5090.312
2015-06-28,4832.0,4834.6045
2015-06-29,5250.0,5240.1274
2015-06-30,5230.0,5044.831
2015-07-15,4782.0,4864.455
2015-07-16,5163.0,5182.143
2015-07-17,5361.0,5372.121
2015-07-18,5045.0,5054.435
2015-07-19,4889.0,4957.8965
2015-07-20,4558.0,4509.7397
2015-07-21,4639.0,4683.6606
2015-07-22,4979.0,4965.429
2015-07-23,5079.0,5117.68
2015-07-24,5194.0,5155.9536
2015-07-25,5229.0,5140.2437
2015-07-26,5042.0,5053.696
2015-07-27,4864.0,4802.3916
2015-07-28,4799.0,4787.71
2015-07-29,4487.0,4523.086
2015-07-30,4422.0,4483.856
2015-07-31,4422.0,4546.7163
2015-08-13,4646.0,4728.778
2015-08-14,5009.0,5250.906
2015-08-15,4862.0,4873.317
2015-08-16,4673.0,4610.179
2015-08-17,4169.0,4274.2363
2015-08-18,4730.0,4833.0117
2015-08-19,4883.0,4592.9473
2015-08-20,4850.0,4894.2495
2015-08-21,4783.0,4810.7876
2015-08-22,4928.0,4874.639
2015-08-23,4552.0,4647.7163
2015-08-24,4476.0,4493.2627
2015-08-25,4969.0,5015.2603
2015-08-26,5161.0,5112.8247
2015-08-27,5228.0,5307.1753
2015-08-28,5313.0,5193.959
2015-08-29,5245.0,5222.771
2015-08-30,5095.0,5133.6934
2015-08-31,4986.0,4987.984
2015-09-13,4982.0,4971.109
2015-09-14,5073.0,5072.1934
2015-09-15,5272.0,5276.7104
2015-09-16,5428.0,5439.413
2015-09-17,5275.0,5269.0703
2015-09-18,5207.0,5157.432
2015-09-19,5177.0,5150.6816
2015-09-20,4943.0,4874.2876
2015-09-21,4833.0,4848.3545
2015-09-22,4930.0,4913.8706
2015-09-23,4858.0,4797.0527
2015-09-24,4540.0,4507.044
2015-09-25,4345.0,4444.694
2015-09-26,4060.0,4341.3765
2015-09-27,4182.0,4341.8564
2015-09-28,4216.0,3971.9402
2015-09-29,4366.0,4327.5845
2015-09-30,4252.0,4242.9985
2015-10-13,4295.0,4313.051
2015-10-14,4303.0,4604.726
2015-10-15,4300.0,4236.1157
2015-10-16,4225.0,4200.788
2015-10-17,4170.0,4180.6045
2015-10-18,3973.0,3980.0134
2015-10-19,3762.0,3786.6733
2015-10-20,4062.0,4146.4277
2015-10-21,4100.0,4099.5117
2015-10-22,4011.0,3955.092
2015-10-23,3226.0,3389.53
2015-10-24,3755.0,3696.7224
2015-10-25,3426.0,3589.7678
2015-10-26,3354.0,3383.425
2015-10-27,3646.0,3620.402
2015-10-28,3596.0,3493.782
2015-10-29,3270.0,3334.2654
2015-10-30,3331.0,3259.555
2015-10-31,3361.0,3304.537
2015-11-13,2574.0,2861.768
2015-11-14,2922.0,2994.6133
2015-11-15,3054.0,3074.218
2015-11-16,2886.0,2879.399
2015-11-17,3158.0,3111.1042
2015-11-18,3048.0,3164.141
2015-11-19,3160.0,3150.859
2015-11-20,3215.0,3147.6272
2015-11-21,3302.0,3096.586
2015-11-22,3011.0,3007.0378
2015-11-23,3000.0,3024.2776
2015-11-24,3117.0,3101.46
2015-11-25,3117.0,3129.0247
2015-11-26,3061.0,3111.1865
2015-11-27,3176.0,3183.6711
2015-11-28,3140.0,3135.1743
2015-11-29,2993.0,2992.8145
2015-11-30,3034.0,2997.5654
2015-12-13,3234.0,3284.2275
2015-12-14,3264.0,3264.7954
2015-12-15,3349.0,3431.6077
2015-12-16,3394.0,3408.4958
2015-12-17,3440.0,3438.967
2015-12-18,3470.0,3499.2437
2015-12-19,3650.0,3580.4722
2015-12-20,3451.0,3441.154
2015-12-21,3520.0,3544.6526
2015-12-22,3610.0,3596.631
2015-12-23,3654.0,3656.2712
2015-12-24,3765.0,3737.6155
2015-12-25,3756.0,3841.6843
2015-12-26,3872.0,3884.854
2015-12-27,3559.0,3603.864
2015-12-28,3573.0,3528.1199
2015-12-29,3695.0,3664.9766
2015-12-30,3640.0,3622.6216
2015-12-31,3592.0,3619.0085
2016-01-13,3624.0,3664.4475
2016-01-14,3646.0,3688.0198
2016-01-15,3708.0,3731.729
2016-01-16,3962.0,3911.9475
2016-01-17,3667.0,3673.2715
2016-01-18,3598.0,3816.0415
2016-01-19,3591.0,3871.1462
2016-01-20,3695.0,3706.4834
2016-01-21,3921.0,3938.4766
2016-01-22,3893.0,3886.8955
2016-01-23,4077.0,4056.9238
2016-01-24,3836.0,3818.5728
2016-01-25,3952.0,3738.2869
2016-01-26,4033.0,3944.5686
2016-01-27,3324.0,3706.594
2016-01-28,3857.0,3817.418
2016-01-29,3657.0,3653.7825
2016-01-30,3819.0,3774.0952
2016-01-31,3533.0,3695.1501
2016-02-13,3635.0,3594.7454
2016-02-14,3464.0,3403.7898
2016-02-15,3421.0,3450.1785
2016-02-16,3486.0,3482.8708
2016-02-17,3398.0,3395.5217
2016-02-18,3521.0,3517.3293
2016-02-19,3310.0,3299.3625
2016-02-20,3507.0,3448.5242
2016-02-21,3086.0,3154.8477
2016-02-22,3073.0,3103.648
2016-02-23,3153.0,3267.301
2016-02-24,3153.0,3174.2466
2016-02-25,3197.0,3262.727
2016-02-26,3217.0,3262.6294
2016-02-27,3395.0,3233.1338
2016-02-28,3109.0,3124.604
2016-02-29,3018.0,3032.8975
2016-03-13,3120.0,3110.6797
2016-03-14,2972.0,2953.671
2016-03-15,3122.0,3144.3718
2016-03-16,3226.0,3188.5488
2016-03-17,3228.0,3229.6384
2016-03-18,3122.0,3218.9348
2016-03-19,3372.0,3360.1638
2016-03-20,3236.0,3200.3047
2016-03-21,3007.0,3052.2317
2016-03-22,3246.0,3195.9885
2016-03-23,3188.0,3167.501
2016-03-25,2388.0,2631.971
